Date,Open,High,Low,Close,Adj Close,Volume
2014-03-07,164.759995,164.889999,163.809998,164.339996,149.019196,7381900
2014-03-10,164.050003,164.160004,163.179993,163.990005,148.701859,3995400
2014-03-11,164.279999,164.490005,163.110001,163.419998,148.184982,5198700
2014-03-12,162.660004,163.570007,162.470001,163.229996,148.012634,5250800
2014-03-13,163.740005,164.029999,160.779999,161.050003,146.035934,9500500
2014-03-14,160.729996,161.600006,160.380005,160.649994,145.673218,8603100
2014-03-17,161.399994,162.669998,161.330002,162.369995,147.232849,6641400
2014-03-18,162.690002,163.639999,162.550003,163.279999,148.058060,7094600
2014-03-19,163.259995,163.570007,161.149994,162.190002,147.069641,7936400
2014-03-20,161.850006,163.470001,161.479996,163.300003,148.076065,6616200
2014-03-21,163.470001,164.199997,162.529999,162.630005,147.724075,7629500
2014-03-24,163.130005,163.460007,161.779999,162.440002,147.551483,6336000
2014-03-25,163.369995,163.720001,162.570007,163.389999,148.414398,5991100
2014-03-26,164.070007,164.330002,162.320007,162.330002,147.451538,6133800
2014-03-27,162.250000,162.679993,161.539993,162.279999,147.406189,7713700
2014-03-28,162.610001,163.820007,162.320007,162.850006,147.923935,4536000
2014-03-31,163.720001,164.460007,163.639999,164.240005,149.186508,6368400
2014-04-01,164.669998,165.309998,164.580002,164.949997,149.831360,4076100
2014-04-02,165.190002,165.570007,164.750000,165.369995,150.212936,5597700
2014-04-03,165.720001,165.750000,164.960007,165.339996,150.185669,4452600
2014-04-04,166.009995,166.059998,163.580002,163.880005,148.859512,10559700
2014-04-07,163.580002,163.929993,162.119995,162.160004,147.297119,8624100
2014-04-08,162.100006,162.729996,161.550003,162.330002,147.451538,5930000
2014-04-09,163.000000,164.139999,162.429993,164.100006,149.059311,6008300
2014-04-10,164.119995,164.309998,161.270004,161.470001,146.670380,9981500
2014-04-11,160.669998,161.320007,159.880005,160.020004,145.353256,11067500
2014-04-14,161.080002,161.619995,160.270004,161.449997,146.652237,6270600
2014-04-15,161.669998,162.470001,160.380005,162.360001,147.478882,8489000
2014-04-16,163.429993,164.029999,162.929993,164.020004,148.986664,5864200
2014-04-17,163.610001,164.190002,163.330002,163.750000,148.861633,5790700
2014-04-21,163.839996,164.250000,163.699997,164.029999,149.116150,3066100
2014-04-22,164.300003,165.300003,164.229996,164.800003,149.816116,4044300
2014-04-23,164.940002,164.990005,164.449997,164.639999,149.670715,3546100
2014-04-24,165.009995,165.110001,164.190002,164.690002,149.716187,4028700
2014-04-25,164.080002,164.190002,163.000000,163.350006,148.497986,5102700
2014-04-28,164.130005,164.690002,162.779999,164.169998,149.243408,7236900
2014-04-29,164.619995,165.270004,164.490005,165.000000,149.997925,4581400
2014-04-30,164.919998,165.600006,164.830002,165.449997,150.407013,4958500
2014-05-01,165.300003,165.710007,164.899994,165.229996,150.207123,3889400
2014-05-02,165.160004,165.850006,164.529999,164.750000,149.770630,7036100
2014-05-05,163.970001,165.169998,163.449997,164.929993,149.934296,4059700
2014-05-06,164.660004,164.679993,163.679993,163.729996,148.843445,5281500
2014-05-07,164.509995,165.080002,163.389999,165.029999,150.025238,5576200
2014-05-08,165.020004,166.070007,164.860001,165.350006,150.316116,5997900
